category,productCode,catCode,productName,description,noOfProduct,quantity,catalogueItemMarketPrice,catalogueItemDiscount,retailPrice,retailDiscount,GST,metaTitle,metaKeyword,metaDescription,weight,tag,cat_image,image,optionType,size,isActive,showInSingle,Color,Fabric,Occasion
Sarees,,Kalki,Kalki Koechlin Pure Organza Red Saree,description,3,10,21000,10,,10,5,Kalki Koechlin Pure Organza Red Saree,Kalki Koechlin Pure Organza Red Saree,Kalki Koechlin Pure Organza Red Saree,1,BollyWood saree,cover_kalki.webp,,Stitching,,Y,Y,,Organza,
Sarees,kalki_saree_576,Kalki,Kalki Koechlin Pure Organza Pink Saree,description,,10,7000,0,8000,20,5,Kalki Koechlin Pure Organza Pink Saree,Kalki Koechlin Pure Organza Pink Saree,Kalki Koechlin Pure Organza Pink Saree,1,BollyWood saree,,"saree_576.webp,saree_576_1.webp,saree_576_2.webp,saree_576_3.webp",Stitching,,Y,Y,Pink,Organza,
Sarees,kalki_saree_577,Kalki,RAJTEX KALKI KOECHLIN TISSUE 12000 SERIES FANCY ZARI SAREE 312003,description,,10,7000,0,8000,20,5,RAJTEX KALKI KOECHLIN TISSUE 12000 SERIES FANCY ZARI SAREE 312003,RAJTEX KALKI KOECHLIN TISSUE 12000 SERIES FANCY ZARI SAREE 312003,RAJTEX KALKI KOECHLIN TISSUE 12000 SERIES FANCY ZARI SAREE 312003,1,BollyWood saree,,"saree_577.webp,saree_577_1.webp,saree_577_2.webp,saree_577_3.webp,saree_577_4.webp",Stitching,,Y,Y,Sky Blue,Organza,
Sarees,kalki_saree_578,Kalki,Kalki Koechlin Pure Organza Red Saree,description,,10,7000,0,8000,20,5,Kalki Koechlin Pure Organza Red Saree,Kalki Koechlin Pure Organza Red Saree,Kalki Koechlin Pure Organza Red Saree,1,BollyWood saree,,"saree_579.webp,saree_579_1.webp,saree_579_4.webp",Stitching,,Y,Y,Grey,Organza,
Sarees,,Kalki_fashion,Traditional Indian Sarees,description,4,10,32000,10,,10,5,Kalki Koechlin Pure Organza Red Saree,Kalki Koechlin Pure Organza Red Saree,Kalki Koechlin Pure Organza Red Saree,1,BollyWood saree,cover_22101873.jpg,,Stitching,,Y,Y,,Organza,
Sarees,22101870,Kalki_fashion,Geometric Woven Design Zari Kanjeevaram Saree,"Red and gold-toned kanjeevaram saree
Geometric  woven design saree with woven design border
Has zari detail

The saree comes with an unstitched blouse piece
The blouse worn by the model might be for modelling purpose only. Check the image of the blouse piece to understand how the actual blouse piece looks like.",,10,8000,0,9000,20,5,"Geometric Woven Design Zari Kanjeevaram Saree
",Geometric Woven Design Zari Kanjeevaram Saree,Geometric Woven Design Zari Kanjeevaram Saree,1,BollyWood saree,,"22101870.webp,22101870_1.webp",Stitching,,Y,Y,Red,Organza,
Sarees,22101871,Kalki_fashion,Geometric Woven Design Zari Kanjeevaram Saree,"Pink and gold-toned kanjeevaram saree
Ethnic Motifs woven design saree with woven design border
Has zari detail

The saree comes with an unstitched blouse piece
The blouse worn by the model might be for modelling purpose only. Check the image of the blouse piece to understand how the actual blouse piece looks like.",,10,8000,0,9000,20,5,"Geometric Woven Design Zari Kanjeevaram Saree
",Geometric Woven Design Zari Kanjeevaram Saree,Geometric Woven Design Zari Kanjeevaram Saree,1,BollyWood saree,,"22101871.webp,22101871_1.webp",Stitching,,Y,Y,Pink,Organza,
Sarees,22101872,Kalki_fashion,TRADITIONAL WOMEN INDIAN HANDLOOM ORGANZA SAREE PARTY FESTIVE WEAR SARI BLOUSE 7833,"ABOUT INDIAN SAREE - Be an angel and create and establish a smashing affect on everybody by wearing this designer saree. When you are going for traditional parties, then there is no better outfit than Sarees. When you wear saree as traditional wear, you will look more elegant and attractive.
FABRIC DETAILS - Pure Handloom Organza
LENGHT : The Total Length of the Saree is 6.3 mtrs including Blouse fabric. ||Saree Fabric Size : 5.25 Mtrs (approx), Width - 44"" Inches (approx) || Blouse Size : Unstitich Fabric - Length : 1 mtr (Approx), Width : 44"" (Approx.) - Unstitched blouse fabric comes with saree so you can make as you like
BLOUSE STITCHING : This saree comes with unstitched blouse piece, if you want stitching Service From us, please contact us via amazon mail.Chargs will be 30 USD additional for customization of blouse.
CUSTUMER SUPPORT : If you have any questions do contact or write us via Amazon massage or our 24X7 customer help desk +918076958181 after you make the purchase or any questions before making the purchase. Our team of fashion designers will do their best to support

Ethnic Motifs woven design saree with woven design border
Has zari detail

The saree comes with an unstitched blouse piece
The blouse worn by the model might be for modelling purpose only. Check the image of the blouse piece to understand how the actual blouse piece looks like.",,10,8000,0,9000,20,5,"TRADITIONAL WOMEN INDIAN HANDLOOM ORGANZA SAREE PARTY FESTIVE WEAR SARI BLOUSE 7833
",TRADITIONAL WOMEN INDIAN HANDLOOM ORGANZA SAREE PARTY FESTIVE WEAR SARI BLOUSE 7833,TRADITIONAL WOMEN INDIAN HANDLOOM ORGANZA SAREE PARTY FESTIVE WEAR SARI BLOUSE 7833,1,BollyWood saree,,"22101872.jpg,22101872_1.webp",Stitching,,Y,Y,Pink,Organza,
Sarees,22101873,Kalki_fashion,Geometric Woven Design Zari Kanjeevaram Saree,description,,10,8000,0,9000,20,5,"Geometric Woven Design Zari Kanjeevaram Saree
",Geometric Woven Design Zari Kanjeevaram Saree,Geometric Woven Design Zari Kanjeevaram Saree,1,BollyWood saree,,"22101873.jpg,22101873_1.webp",Stitching,,Y,Y,Red,Organza,
Sarees,,SULAKSHMI,SULAKSHMI OLIVIA PARTY WEAR SOFT SAREE,"*This Saree Is Made From Light And Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*

*Fabric: Viscose And Art Silk & Enhanced With Tassels, Zari, Sequins Work And Woven With Resham In Floral Motifs*

*Blouse: Embroidery Work & Zari Viewing Soft Fancy Contrast Blouse*

*Zari Woven Soft Saree With Beautiful Rich Pallu & Embroidery Work Blouse For Women Traditional Authentic Designer saree*",11,10,44000,0,4000,0,5,SULAKSHMI OLIVIA PARTY WEAR SOFT SAREE,SULAKSHMI OLIVIA PARTY WEAR SOFT SAREE,SULAKSHMI OLIVIA PARTY WEAR SOFT SAREE,1,Viscose,cover_sulakshmi.jpg,,Stitching,,Y,Y,,Viscose,
Sarees,sulakshmi_219,SULAKSHMI,Charm Pink Sulaxmi olivia Party wear soft saree,"*This Saree Is Made From Light And Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*

*Fabric: Viscose And Art Silk & Enhanced With Tassels, Zari, Sequins Work And Woven With Resham In Floral Motifs*

*Blouse: Embroidery Work & Zari Viewing Soft Fancy Contrast Blouse*

*Zari Woven Soft Saree With Beautiful Rich Pallu & Embroidery Work Blouse For Women Traditional Authentic Designer saree*",,10,4000,0,5000,0,5,Charm Pink Sulaxmi olivia Party wear soft saree,Charm Pink Sulaxmi olivia Party wear soft saree,Charm Pink Sulaxmi olivia Party wear soft saree,1,Viscose,,sulakshmi_219.jpg,Stitching,,Y,Y,Charm Pink,Viscose,
Sarees,sulakshmi_220,SULAKSHMI,Yellow Sulaxmi olivia Party wear soft saree,"*This Saree Is Made From Light And Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*

*Fabric: Viscose And Art Silk & Enhanced With Tassels, Zari, Sequins Work And Woven With Resham In Floral Motifs*

*Blouse: Embroidery Work & Zari Viewing Soft Fancy Contrast Blouse*

*Zari Woven Soft Saree With Beautiful Rich Pallu & Embroidery Work Blouse For Women Traditional Authentic Designer saree*",,10,4000,0,5000,0,5,Yellow Sulaxmi olivia Party wear soft saree,Yellow Sulaxmi olivia Party wear soft saree,Yellow Sulaxmi olivia Party wear soft saree,1,Viscose,,sulakshmi_220.jpg,Stitching,,Y,Y,Yellow,Viscose,
Sarees,sulakshmi_221,SULAKSHMI,Green Sulaxmi olivia Party wear soft saree,"*This Saree Is Made From Light And Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*

*Fabric: Viscose And Art Silk & Enhanced With Tassels, Zari, Sequins Work And Woven With Resham In Floral Motifs*

*Blouse: Embroidery Work & Zari Viewing Soft Fancy Contrast Blouse*

*Zari Woven Soft Saree With Beautiful Rich Pallu & Embroidery Work Blouse For Women Traditional Authentic Designer saree*",,10,4000,0,5000,0,5,Green Sulaxmi olivia Party wear soft saree,Green Sulaxmi olivia Party wear soft saree,Green Sulaxmi olivia Party wear soft saree,1,Viscose,,sulakshmi_221.jpg,Stitching,,Y,Y,Green,Viscose,
Sarees,sulakshmi_222,SULAKSHMI,Purple Sulaxmi olivia Party wear soft saree,"*This Saree Is Made From Light And Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*

*Fabric: Viscose And Art Silk & Enhanced With Tassels, Zari, Sequins Work And Woven With Resham In Floral Motifs*

*Blouse: Embroidery Work & Zari Viewing Soft Fancy Contrast Blouse*

*Zari Woven Soft Saree With Beautiful Rich Pallu & Embroidery Work Blouse For Women Traditional Authentic Designer saree*",,10,4000,0,5000,0,5,Purple Sulaxmi olivia Party wear soft saree,Purple Sulaxmi olivia Party wear soft saree,Purple Sulaxmi olivia Party wear soft saree,1,Viscose,,sulakshmi_222.jpg,Stitching,,Y,Y,Purple,Viscose,
Sarees,sulakshmi_223,SULAKSHMI,Red Sulaxmi olivia Party wear soft saree,"*This Saree Is Made From Light And Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*

*Fabric: Viscose And Art Silk & Enhanced With Tassels, Zari, Sequins Work And Woven With Resham In Floral Motifs*

*Blouse: Embroidery Work & Zari Viewing Soft Fancy Contrast Blouse*

*Zari Woven Soft Saree With Beautiful Rich Pallu & Embroidery Work Blouse For Women Traditional Authentic Designer saree*",,10,4000,0,5000,0,5,Red Sulaxmi olivia Party wear soft saree,Red Sulaxmi olivia Party wear soft saree,Red Sulaxmi olivia Party wear soft saree,1,Viscose,,sulakshmi_223.jpg,Stitching,,Y,Y,Red,Viscose,
Sarees,sulakshmi_224,SULAKSHMI,Lavender Sulaxmi olivia Party wear soft saree,"*This Saree Is Made From Light And Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*

*Fabric: Viscose And Art Silk & Enhanced With Tassels, Zari, Sequins Work And Woven With Resham In Floral Motifs*

*Blouse: Embroidery Work & Zari Viewing Soft Fancy Contrast Blouse*

*Zari Woven Soft Saree With Beautiful Rich Pallu & Embroidery Work Blouse For Women Traditional Authentic Designer saree*",,10,4000,0,5000,0,5,Lavender Sulaxmi olivia Party wear soft saree,Lavender Sulaxmi olivia Party wear soft saree,Lavender Sulaxmi olivia Party wear soft saree,1,Viscose,,sulakshmi_224.jpg,Stitching,,Y,Y,Lavender,Viscose,
