category,productCode,catCode,productName,description,noOfProduct,quantity,catalogueItemMarketPrice,catalogueItemDiscount,retailPrice,retailDiscount,GST,metaTitle,metaKeyword,metaDescription,weight,tag,cat_image,image,optionType,size,isActive,showInSingle,Color,Fabric
"Salwar Kameez,Readymade,Embroidered Salwar Kameez",,GULZAAR,Georgette Wholesale Readymade Plazzo Suit 4 Pieces Catalog,"First Wash Dry Clean
Buy Georgette Wholesale Readymade Plazzo Suit 4 Pieces Catalog from wholesale salwar. ?Catalog price 2299 ?Items 4 ?Worldwide Shipping Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",4,20,11495,5,,5,5,Buy Georgette Wholesale Readymade Plazzo Suit 4 Pieces Catalog from wholesale salwar. ?Catalog price 2299 ?Items 4 ?Worldwide Shipping,Buy Georgette Wholesale Readymade Plazzo Suit 4 Pieces Catalog from wholesale salwar. ?Catalog price 2299 ?Items 4 ?Worldwide Shipping,Buy Georgette Wholesale Readymade Plazzo Suit 4 Pieces Catalog from wholesale salwar. ?Catalog price 2299 ?Items 4 ?Worldwide Shipping,1,"Georgete, black",p-34-cover.jpg,,Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y,,Georgette
"Salwar Kameez,Readymade,Embroidered Salwar Kameez",GULZAAR-41041,GULZAAR,Black-Geogette-Ceremonial Wear-Embroidery Work-Readymade Plazzo Suit,"First Wash Dry Clean
geogette Salwar kameez In black
This Attire With geogette Is Enhanced With 42
Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",,20,,5,2499,5,5,Black-Geogette-Ceremonial Wear-Embroidery Work-Readymade Plazzo Suit,Black-Geogette-Ceremonial Wear-Embroidery Work-Readymade Plazzo Suit,Black-Geogette-Ceremonial Wear-Embroidery Work-Readymade Plazzo Suit,1,"Georgete, black",,"p-1.jpg,p-2.jpg",Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y,Black,Georgette
"Salwar Kameez,Readymade,Embroidered Salwar Kameez",GULZAAR-41042,GULZAAR,Green-Geogette-Ceremonial Wear-Embroidery Work-Readymade Plazzo Suit,"First Wash Dry Clean
geogette Salwar kameez In green
This Attire With geogette Is Enhanced With 42
Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",,20,,5,2499,5,5,Green-Geogette-Ceremonial Wear-Embroidery Work-Readymade Plazzo Suit,Green-Geogette-Ceremonial Wear-Embroidery Work-Readymade Plazzo Suit,Green-Geogette-Ceremonial Wear-Embroidery Work-Readymade Plazzo Suit,1,"Georgete, Green",,"p-15.jpg,p-16.jpg,p-17.jpg",Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y,Green,Georgette
"Salwar Kameez,Readymade,Embroidered Salwar Kameez",GULZAAR-41043,GULZAAR,Blue-Geogette-Ceremonial Wear-Embroidery Work-Readymade Plazzo Suit,"First Wash Dry Clean
geogette Salwar kameez In blue
This Attire With geogette Is Enhanced With 42
Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",,20,,5,2499,5,5,Blue-Geogette-Ceremonial Wear-Embroidery Work-Readymade Plazzo Suit,Blue-Geogette-Ceremonial Wear-Embroidery Work-Readymade Plazzo Suit,Blue-Geogette-Ceremonial Wear-Embroidery Work-Readymade Plazzo Suit,1,"Georgete, blue",,"p-6.jpg,p-7.jpg,p-8.jpg",Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y,Blue,Georgette
"Salwar Kameez,Readymade,Embroidered Salwar Kameez",GULZAAR-41044,GULZAAR,Purple-Geogette-Ceremonial Wear-Embroidery Work-Readymade Plazzo Suit,"First Wash Dry Clean
geogette Salwar kameez In purple
This Attire With geogette Is Enhanced With 42
Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",,20,,5,2499,5,5,Purple-Geogette-Ceremonial Wear-Embroidery Work-Readymade Plazzo Suit,Purple-Geogette-Ceremonial Wear-Embroidery Work-Readymade Plazzo Suit,Purple-Geogette-Ceremonial Wear-Embroidery Work-Readymade Plazzo Suit,1,"Georgete, Purple",,"p-34.jpg,p-35.jpg,p-36.jpg",Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y,Purple,Georgette
"Salwar Kameez,Readymade,Embroidered Salwar Kameez",,55430,Georgette Wholesale Readymade Plazzo Suit 4 Pieces Catalog,"First Wash Dry Clean

Dispatch Time : 7 Days

Buy Georgette Wholesale Readymade Plazzo Suit 4 Pieces Catalog from wholesale salwar. ?Catalog price 2199 ?Items 4 ?Worldwide Shipping

Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",4,20,10995,5,2299,10,5,Georgette Wholesale Readymade Plazzo Suit 4 Pieces Catalog,Georgette Wholesale Readymade Plazzo Suit 4 Pieces Catalog,Georgette Wholesale Readymade Plazzo Suit 4 Pieces Catalog,1,Georgete,p-28-cover.jpg,,Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y,,Georgette
"Salwar Kameez,Readymade,Embroidered Salwar Kameez",55431,55430,Georgette Black Party Wear Embroidery Work Readymade Plazzo Suit,"First Wash Dry Clean
georgette Salwar kameez In black
This Attire With georgette Is Enhanced With 38
Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",,20,,5,2299,10,5,Georgette Black Party Wear Embroidery Work Readymade Plazzo Suit,Georgette Black Party Wear Embroidery Work Readymade Plazzo Suit,Georgette Black Party Wear Embroidery Work Readymade Plazzo Suit,1,Georgete,,"p-3.jpg,p-4.jpg,p-6.jpg",Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y,Black,Georgette
"Salwar Kameez,Readymade,Embroidered Salwar Kameez",55432,55430,Georgette Maroon Party Wear Embroidery Work Readymade Plazzo Suit,"First Wash Dry Clean
georgette Salwar kameez In black
This Attire With georgette Is Enhanced With 38
Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",,20,,5,2299,10,5,Georgette Maroon Party Wear Embroidery Work Readymade Plazzo Suit,Georgette Maroon Party Wear Embroidery Work Readymade Plazzo Suit,GeorgetteMaroon Party Wear Embroidery Work Readymade Plazzo Suit,1,Georgete,,"p-28.jpg,p-26.jpg,p-27.jpg",Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y,Maroon,Georgette
"Salwar Kameez,Readymade,Embroidered Salwar Kameez",55433,55430,Georgette Purple Party Wear Embroidery Work Readymade Plazzo Suit,"First Wash Dry Clean
georgette Salwar kameez In black
This Attire With georgette Is Enhanced With 38
Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",,20,,5,2299,10,5,Georgette Purple Party Wear Embroidery Work Readymade Plazzo Suit,Georgette Purple Party Wear Embroidery Work Readymade Plazzo Suit,Georgette Purple Party Wear Embroidery Work Readymade Plazzo Suit,1,Georgete,,"p-39.jpg,p-37.jpg,p-38.jpg",Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y,Purple,Georgette
"Salwar Kameez,Readymade,Embroidered Salwar Kameez",55434,55430,Georgette  Off White Party Wear Embroidery Work Readymade Plazzo Suit,"First Wash Dry Clean
georgette Salwar kameez In black
This Attire With georgette Is Enhanced With 38
Do note: Accessories shown in the image are for presentation purposes only and length may vary upto 2 inches.(Slight variation in actual color vs. image is possible).",,20,,5,2299,10,5,Georgette  Off White Party Wear Embroidery Work Readymade Plazzo Suit,Georgette  Off White Party Wear Embroidery Work Readymade Plazzo Suit,Georgette  Off White Party Wear Embroidery Work Readymade Plazzo Suit,1,Georgete,,"p-33.jpg,p-32.jpg,p-31.jpg",Size,"M-5-0,L-5-0,XL-5-0,XXL-5-0
",Y,Y, Off White,Georgette
